book,spread,dates,location,country,confidence,activity
BB_1914_Jul-Dec,37,November 27 – November 30 1914,Nice,France,high,"Nov 27 Aix lunch, Costabella; Nov 28 lunch St Raphael, Nice (Hotel Cecil); Nov 29 lunch Villa Sylvia, into ITALY, San Remo (Hotel Royal); Nov 30 Alassio, Genoa (Hotel Miramare)."
BB_1914_Jul-Dec,38,December 1 – December 4 1914,Genoa / Pisa to I Tatti,Italy,high,"Dec 1 Genoa (Laura Gropallo lunch, Guido Cagnola dinner); Dec 2 Viareggio (Hotel Royal); Dec 3 lunch Pisa Campo Santo & Cathedral, then home to I Tatti 4.30; Dec 4 I Tatti, lunch Carlo P."
BB_1914_Jul-Dec,39,December 5 – December 8 1914,"Settignano (I Tatti, Florence)",Italy,high,"Dec 5-8 I Tatti; American consul, Geoffrey & Cecil; Mrs Ross; Guido Cagnola arrives, Maraini to dine."
BB_1914_Jul-Dec,40,December 9 – December 12 1914,"Settignano (I Tatti, Florence)",Italy,high,Dec 9-12 I Tatti; Guido; Placci to lunch; tea with Cecil & Geoffrey; lunch O. Gutekunst.
BB_1914_Jul-Dec,41,December 13 – December 16 1914,"Settignano (I Tatti, Florence)",Italy,high,"Dec 13-16 I Tatti; Guido, Salvemini, Placci; Russian Court; Mrs Ross."
BB_1914_Jul-Dec,42,December 17 – December 20 1914,"Settignano (I Tatti, Florence)",Italy,high,"Dec 17-20 I Tatti; Giuliani, tea Strong, Vanni & Cecil."
BB_1914_Jul-Dec,43,December 21 – December 24 1914,"Settignano (I Tatti, Florence)",Italy,high,"Dec 21-24 I Tatti; Lionello Venturi, Loeser, tea Gravina, Houghton dined; Henderson, Sickert."
BB_1914_Jul-Dec,44,December 25 – December 28 1914,"Settignano (I Tatti, Florence)",Italy,high,"Dec 25-28 I Tatti; Christmas; Henderson, Mme Luchaire to tea, Gravina to dine, Severini, Maraini & Placci."
BB_1914_Jul-Dec,45,December 29 – January 1 1914,"Settignano (I Tatti, Florence)",Italy,high,"Dec 29-Jan 1 I Tatti; study of Vivarini, Crivelli; reading (Dickinson, Steed's Hapsburg Monarchy). Year end at home."
BB_1919_Jan-Jun,1,January 1 – January 2 1919,Paris,France,high,"New Year appointments; society and diplomatic circle (Stead, Mrs Matthews, Capt. Frost)."
BB_1919_Jan-Jun,2,January 3 – January 6 1919,Paris,France,high,"Appointments incl. Dr Rendal, Venizelos, Lippmann; Sunday excursion to Versailles."
BB_1919_Jan-Jun,3,January 7 – January 10 1919,Paris,France,high,"Lunches and teas; Jockey Club, Grew, Rohan-Chabot, Cocteau."
BB_1919_Jan-Jun,4,January 11 – January 14 1919,Paris,France,high,"Bonnard, Cuevas de Vera, Mrs J. Harriman; Sunday Versailles."
BB_1919_Jan-Jun,5,January 15 – January 18 1919,Paris,France,high,"Appointments; Boulogne(-Billancourt) outing, Egan, Rochefoucauld."
BB_1919_Jan-Jun,6,January 19 – January 22 1919,Paris,France,high,Lindsay-Pershing lunch; Passy/Rue Spontini addresses; Martynov.
BB_1919_Jan-Jun,7,January 23 – January 26 1919,Paris,France,high,"Rue de Lubeck, Goluchowski, La Rochefoucauld, Quai de Bourbon."
BB_1919_Jan-Jun,8,January 27 – January 30 1919,Paris,France,high,"Lucy, Cole Porter, Polignac; Venizelos, Vandervelde, Rochefoucauld."
BB_1919_Jan-Jun,9,January 31 – February 3 1919,Paris,France,high,"Boulevard Lannes, Lady Hood, Bonnard; quiet weekend."
BB_1919_Jan-Jun,10,February 4 – February 7 1919,Paris,France,high,Appointments; Kingsley Park dinner.
BB_1919_Jan-Jun,11,February 8 – February 11 1919,Paris,France,high,"Boulevard des Invalides, Lady Hood, opera."
BB_1919_Jan-Jun,12,February 12 – February 15 1919,Paris,France,high,"Seligmann at Cafe de Paris, Visconti, Ave. Malakoff, Rosa."
BB_1919_Jan-Jun,13,February 16 – February 19 1919,Paris,France,medium,Quiet days; Orpen.
BB_1919_Jan-Jun,14,February 20 – February 23 1919,Paris,France,medium,Rosa; mostly blank days.
BB_1919_Jan-Jun,15,February 24 – February 27 1919,Paris,France,high,"Albert Thomas, Mrs Harriman, Isvolsky; Cochran on Rue d'Anjou."
BB_1919_Jan-Jun,16,February 28 – March 3 1919,Paris,France,high,"Rue Marignan, Linda, de Rochefoucauld; Club lunch."
BB_1919_Jan-Jun,17,March 4 – March 7 1919,Beaulieu-sur-Mer / Saint-Jean-Cap-Ferrat,France,high,"Mar 5: left Paris 8.20 for Beaulieu, Hotel Cap Ferrat (French Riviera)."
BB_1919_Jan-Jun,18,March 8 – March 11 1919,Saint-Jean-Cap-Ferrat,France,medium,Riviera stay; Monte Carlo excursion; Hotel des Pins.
BB_1919_Jan-Jun,19,March 12 – March 15 1919,Saint-Jean-Cap-Ferrat,France,medium,Rest/'Bad' (taking it easy); tea at Maryland with Duke of Connaught.
BB_1919_Jan-Jun,20,March 16 – March 19 1919,Saint-Jean-Cap-Ferrat,France,medium,"Reading (Hudson, Dillon's Eclipse of Russia); quiet days on Riviera."
BB_1919_Jan-Jun,21,March 20 – March 23 1919,Saint-Jean-Cap-Ferrat,France,medium,"Lunches with Mrs Grenville, Prince Ouroussoff, Prof. Bernard."
BB_1919_Jan-Jun,22,March 24 – March 27 1919,Hyeres,France,medium,"Mar 24-25 still Riviera (Prince Doria); Mary leaves for Florence; Mar 26 leave for Hyeres, Hotel du Parc, with Edith Wharton."
BB_1919_Jan-Jun,23,March 28 – March 31 1919,Hyeres,France,medium,With Edith Wharton near Hyeres/Toulon; Norton joins; abbey/landscape excursions.
BB_1919_Jan-Jun,24,April 1 – April 4 1919,Hyeres,France,medium,Excursions above Toulon; Les Salettes 'classical landscape'; Sohier villa.
BB_1919_Jan-Jun,25,April 5 – April 8 1919,Hyeres,France,medium,"Bourget(?) dinner, Ojetti; Edie and Norton leave; tea with Bourget."
BB_1919_Jan-Jun,26,April 9 – April 12 1919,Hyeres,France,medium,"Reading (Gambetta, Pierre Mille, Cocteau); preparing return to Paris."
BB_1919_Jan-Jun,27,April 13 – April 16 1919,Paris,France,high,"Apr 13 left Hyeres for Paris via Toulon; Apr 14 PARIS - Vandervelde, Mackay; Italian Exhibition, Rosa."
BB_1919_Jan-Jun,28,April 17 – April 20 1919,Paris,France,high,"Vandervelde, Maclagan, Milosz; Sunday Versailles; Morton Prince."
BB_1919_Jan-Jun,29,April 21 – April 24 1919,Paris,France,high,"Salomon & Adolphe Reinach, Gauvain; Mme Vandervelde; Petit Palais; Bakhmeteff, Lazzaroni."
BB_1919_Jan-Jun,30,April 25 – April 28 1919,Paris,France,high,"Savinkov, Benes, Mme Venizelos, Mackays; Versailles; Frankfurter mentioned."
BB_1919_Jan-Jun,31,April 29 – May 2 1919,Paris,France,high,"Tyler, Isvolsky, Rohan-Chabot, Lady Hood, Frankfurter, Tyrrell, Morgenthau, Mallet; May 2 LEAVE at 7.15."
BB_1919_Jan-Jun,32,May 3 – May 6 1919,Barcelona,Spain,high,"May 3 arrive Barcelona 8pm, Hotel Bristol; Museu, Cathedral, Archives; collections (Grases Hernandez)."
BB_1919_Jan-Jun,33,May 7 – May 10 1919,Barcelona,Spain,high,"Collections, Murillo; day trip to Vic; Cathedral, Terrassa, Pedralbes, Museo del Parque."
BB_1919_Jan-Jun,34,May 11 – May 14 1919,Barcelona,Spain,high,Day excursions Manresa & Terrassa; Sitges; then to Tarragona on May 13.
BB_1919_Jan-Jun,35,May 15 – May 18 1919,Valencia,Spain,high,"May 15 Tarragona (Hotel Paris); May 16 leave for Valencia, all-day touring, Palace Hotel; May 18 to Alicante."
BB_1919_Jan-Jun,36,May 19 – May 22 1919,Murcia,Spain,high,"May 19 Alicante (Hotel Victoria) via Elche to Murcia; May 21 via Lorca, Baza, Guadix to Granada; May 22 Alhambra."
BB_1919_Jan-Jun,37,May 23 – May 26 1919,Granada,Spain,high,"Granada - Cathedral, Alhambra, Capilla Real, Cartuja; lunch Mersmann, Marques."
BB_1919_Jan-Jun,38,May 27 – May 30 1919,Granada,Spain,high,Alhambra & Generalife; May 29 leave Granada for Seville.
BB_1919_Jan-Jun,39,May 31 – June 3 1919,Seville,Spain,high,"May 31-Jun 1 Seville; Jun 2 Cordoba - St Jeronimo, Medina Azahara."
BB_1919_Jan-Jun,40,June 4 – June 7 1919,Madrid,Spain,high,"Jun 4 Madrid, Ritz; Pio (Lagasca 77), Gomez-Moreno, Villa Romana; Prado, Allende-Salazar, Duke of Alba."
BB_1919_Jan-Jun,41,June 8 – June 11 1919,Madrid,Spain,high,"Gomez-Moreno, dinner with Alba & Metternich; Jun 9 day trip to Avila with Russell; Prado, Lazaro."
BB_1919_Jan-Jun,42,June 12 – June 15 1919,Madrid,Spain,high,Montellano; Jun 13 day trip to El Escorial; Jun 15 day trip to Toledo.
BB_1919_Jan-Jun,43,June 16 – June 19 1919,Toledo,Spain,high,"Jun 16 Toledo; Jun 17 back in Madrid - Lazaro, Palmer; Villaurrutia, d'Alba."
BB_1919_Jan-Jun,44,June 20 – June 23 1919,Madrid,Spain,high,"Madrid - Duque del Infantado, Lotfallah Bey, Mary Vadillo, Nuncio."
BB_1919_Jan-Jun,45,June 24 – June 27 1919,Salamanca,Spain,high,"Jun 24-25 Madrid; Jun 25 leave by auto for Avila & Salamanca; Jun 26 Salamanca; Jun 27 Zamora, Astorga."
BB_1919_Jan-Jun,46,June 28 – July 1 1919,Santiago de Compostela,Spain,high,"Jun 28 Astorga, Lugo; Jun 29 Lugo, Santiago (Hotel Suizo); Jul 1 Coruna, Ribadeo."
BB_1919_Jul-Dec,1,July 2 – July 5 1919,Oviedo,Spain,high,Jul 2 Ribadeo to Oviedo (Hotel Covadonga); Jul 4 via Pajares pass to Leon.
BB_1919_Jul-Dec,2,July 6 – July 9 1919,Burgos,Spain,high,"Jul 6 Leon, San Miguel de Escalada, Sahagun, Palencia; Jul 7 Palencia, Fromista; Jul 8 Burgos (Hotel Norte)."
BB_1919_Jul-Dec,3,July 10 – July 13 1919,Pamplona,Spain,high,"Jul 10 Santo Domingo de la Calzada, San Millan, Najera; Jul 11 Logrono, Viana, Estella, Pamplona."
BB_1919_Jul-Dec,4,July 14 – July 17 1919,San Sebastian,Spain,high,"Jul 12 Pamplona, Sanguesa, Javier; Jul 13-16 San Sebastian (Fuenterrabia, Queen Cristina); Jul 16 leave for Paris."
BB_1919_Jul-Dec,5,July 18 – July 21 1919,Paris,France,high,"Jul 17 PARIS; Lazzaroni, Curtis, dentist, renewed passport; Mary leaves Jul 20."
BB_1919_Jul-Dec,6,July 22 – July 25 1919,Senlis,France,high,"Jul 22 to Senlis with Kingsley Porter; Gothic tour - Clermont, Beauvais, Raray, Chaalis, St-Leu, Beaumont."
BB_1919_Jul-Dec,7,July 26 – July 29 1919,Paris,France,medium,"Jul 26 Wharton; Jul 27 excursion Rampillon, St-Loup-de-Naud, Provins; back in Paris with appointments (Bonnard, Gillet, Lazzaroni, Mrs Wharton)."
BB_1919_Jul-Dec,8,July 30 – August 2 1919,Versailles,France,high,Jul 30-Aug 2 staying at Versailles; dinners with Hyde.
BB_1919_Jul-Dec,9,August 3 – August 6 1919,Versailles,France,medium,"Aug 3-6 Versailles; Mrs Harrison, Albert Thomas, Rosa."
BB_1919_Jul-Dec,10,August 7 – August 10 1919,Saint-Brice-sous-Foret,France,high,"Aug 7-10 St-Brice (Edith Wharton's house Pavillon Colombe); Albert Thomas, Bouchard."
